"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ABHD4",8.16308000579581,0.750743038592771,0.202645491582863,1.67732610415831e-05,0.000242000455463482,"ABHD4"
"ABHD5",11.6097435012753,-0.00740176925591636,0.145804066000497,0.951074468182341,0.979323050760602,"ABHD5"
"ABHD6",0.957311365810819,0.465745057434645,0.6732576665454,0.0167227177035207,0.0811143049605246,"ABHD6"
"ABHD8",1.73698469274242,0.0498704567078534,0.229878514706775,0.65593315396325,0.835168000203588,"ABHD8"
"ABI1",11.7461113592361,0.452949276936808,0.158680044051929,0.000794871828742927,0.00696398501212727,"ABI1"
"ABI1P1",0.00943362807738956,-0.00177101780550419,0.259805401726339,0.954681885190932,NA,"ABI1P1"
"ABI2",53.2562639997854,0.159854203713849,0.0797430093285796,0.0421374900247907,0.159582107766975,"ABI2"
"ABI3",0.0349550291255167,-0.00322831704330964,0.259723565101897,0.92618197888017,NA,"ABI3"
"ABI3BP",0.0242947011021431,-0.00289417846420203,0.259755587547409,0.936056902477538,NA,"ABI3BP"
"ABITRAM",12.6597906623415,-0.0810824388040553,0.147218402382457,0.493980641396879,0.731665934708516,"ABITRAM"
"ABL1",2.67395590633905,0.038530362860668,0.2120821810646,0.755676435357539,0.889585340756798,"ABL1"
"ABL2",4.05378478594756,-0.142412947472829,0.223640329855716,0.325076023129924,0.582470943785129,"ABL2"
"ABLIM1",36.6538444577196,0.109703261669852,0.090483147272168,0.194000217774853,0.430993597002548,"ABLIM1"
"ABLIM2",0.767049019988801,0.0730311675551292,0.251793718495856,0.440225873845684,0.689559222724853,"ABLIM2"
"ABLIM3",3.35281624559427,0.724158200343393,0.297185320535985,0.000932109399296044,0.0079031456273473,"ABLIM3"
"ABO",0.0217895969902811,-0.00275374456550373,0.259781017409987,0.942453002003058,NA,"ABO"
"ABR",7.35311162782343,0.145487406481437,0.176062345072698,0.262377629843976,0.517149000568748,"ABR"
"ABRA",2.87241559031682,-1.15964586442879,0.491624928908909,0.00187513143483413,0.01428893312032,"ABRA"
"ABRACL",2.06108989938969,0.00455395470139106,0.222888935888476,0.975264180179073,0.9906491800511,"ABRACL"
"ABRAXAS1",4.00193281523257,0.191134247625154,0.230875222555995,0.186167203960563,0.420276917495755,"ABRAXAS1"
"ABRAXAS1P2",0.114292936941917,0.0283850547373731,0.259356387730264,0.665939602908006,NA,"ABRAXAS1P2"
"ABRAXAS2",3.6991327558801,-0.0878138773017996,0.215287359831416,0.509090111981925,0.742800913061079,"ABRAXAS2"
"ABT1",13.3670164702239,0.0333358036272825,0.135792753753346,0.758816206618465,0.890554223152948,"ABT1"
"ABTB1",5.2696185397029,1.17817945861399,0.218900927942093,3.10943527876308e-09,8.25312346880132e-08,"ABTB1"
"ABTB2",4.21921671878424,-0.17711238510309,0.222137510999396,0.22931138798294,0.476302884631561,"ABTB2"
"ABTB3",0.293218992264152,-0.0416892251541982,0.258860167878654,0.766388504252087,NA,"ABTB3"
"ACAA1",34.8639053127286,0.16324624296956,0.095150604136163,0.0681313449032545,0.222408004729591,"ACAA1"
"ACAA2",60.6902819133512,0.162573951632761,0.0752617107646044,0.0244292056901372,0.10753808145123,"ACAA2"
"ACAA2P1",2.09339475535584,0.139250684474379,0.248158750215145,0.279779703793973,0.536170813132544,"ACAA2P1"
"ACACA",2.06259072031555,0.616520976249211,0.4414910682196,0.00840061472543979,0.0480182343756283,"ACACA"
"ACACB",10.7886732397733,0.137577554109212,0.154699971986791,0.268736391698197,0.524181789760467,"ACACB"
"ACAD10",3.80165193478437,0.0432678726631579,0.199189065805499,0.737276201058871,0.879605109116037,"ACAD10"
"ACAD11",0.0319497357292964,-0.00463473822312972,0.259766554082407,0.940510647879663,NA,"ACAD11"
"ACAD8",14.4514181384744,0.258054335657562,0.141808002005625,0.0317013592344414,0.129618069720022,"ACAD8"
"ACAD9",6.84469720994561,-0.0190978386999299,0.169588068239213,0.898142900080536,0.955886627689131,"ACAD9"
"ACADL",0.379699442290203,-0.0812193875177803,0.268872524368103,0.400890531147514,NA,"ACADL"
"ACADM",66.030761916522,-0.19600731773828,0.0799887573402465,0.00986233322127137,0.0543963236548949,"ACADM"
"ACADS",7.54478011249011,-0.0681883624506304,0.170161226351832,0.600836387372936,0.805275656710228,"ACADS"
"ACADSB",9.01345580840069,-0.0606364489945332,0.160002729493842,0.633282213829916,0.822339632631199,"ACADSB"
"ACADVL",60.1365895093978,0.0419377277639236,0.0751384288279525,0.556614292083149,0.776256039148146,"ACADVL"
"ACAP1",3.97456991230913,-0.39151977083954,0.325291730456178,0.0470162709152493,0.172120553499937,"ACAP1"
"ACAP2",8.60622212475565,0.306463866306832,0.206157241083408,0.04175212954283,0.158600103193945,"ACAP2"
"ACAP3",4.64810104622693,-0.121403442748151,0.204414395287092,0.386525803381355,0.641795055079956,"ACAP3"
